# Version 1.00
#
freq[Hz];re:Trc1_S11[U];im:Trc1_S11[U];
9.000000000000000E+008;-2.107426375150681E-001;-3.234403431415558E-001;
9.085000000000000E+008;-3.517852723598480E-001;-8.733109384775162E-002;
9.170000000000000E+008;-2.442162185907364E-001;1.550323665142059E-001;
9.255000000000000E+008;1.538229919970036E-002;1.931637376546860E-001;
9.340000000000000E+008;1.602836698293686E-001;-8.733605965971947E-003;
9.425000000000000E+008;6.152205541729927E-002;-1.916736215353012E-001;
9.510000000000000E+008;-9.107797592878342E-002;-1.941213607788086E-001;
9.595000000000000E+008;-1.589280813932419E-001;-1.159233897924423E-001;
9.680000000000000E+008;-1.493788957595825E-001;-2.891684509813786E-002;
9.765000000000000E+008;-8.552456647157669E-002;5.384341813623905E-003;
9.850000000000000E+008;-2.033185958862305E-002;-2.470191754400730E-002;
9.935000000000000E+008;-1.443753950297833E-002;-1.121539771556854E-001;
1.002000000000000E+009;-1.151897758245468E-001;-1.625294834375382E-001;
1.010500000000000E+009;-2.100462913513184E-001;-7.581897825002670E-002;
1.019000000000000E+009;-1.766797602176666E-001;5.295833572745323E-002;
1.027500000000000E+009;-4.102766886353493E-002;9.368718415498734E-002;
1.036000000000000E+009;7.936854660511017E-002;-1.927703502587974E-003;
1.044500000000000E+009;5.911864712834358E-002;-1.785996407270432E-001;
1.053000000000000E+009;-1.139248535037041E-001;-2.575942277908325E-001;
1.061500000000000E+009;-2.827786505222321E-001;-1.596741080284119E-001;
1.070000000000000E+009;-3.033795654773712E-001;3.705648332834244E-002;
1.078500000000000E+009;-1.619866788387299E-001;1.741795390844345E-001;
1.087000000000000E+009;4.274856299161911E-002;1.435579210519791E-001;
1.095500000000000E+009;1.197715699672699E-001;-4.338331148028374E-002;
1.104000000000000E+009;2.998369932174683E-002;-1.892658025026321E-001;
1.112500000000000E+009;-1.203155592083931E-001;-2.184554189443588E-001;
1.121000000000000E+009;-2.325202226638794E-001;-1.405183076858521E-001;
1.129500000000000E+009;-2.560105025768280E-001;-1.395421661436558E-002;
1.138000000000000E+009;-1.980251669883728E-001;9.097128361463547E-002;
1.146500000000000E+009;-6.714291125535965E-002;1.325469911098480E-001;
1.155000000000000E+009;5.512236431241036E-002;5.042733997106552E-002;
1.163500000000000E+009;7.222919911146164E-002;-1.139663308858872E-001;
1.172000000000000E+009;-8.941800147294998E-002;-2.220314145088196E-001;
1.180500000000000E+009;-2.309059649705887E-001;-1.084925979375839E-001;
1.189000000000000E+009;-1.873828768730164E-001;4.155920818448067E-003;
1.197500000000000E+009;-1.339422166347504E-001;1.398118678480387E-002;
1.206000000000000E+009;-1.117205992341042E-001;2.865087706595659E-003;
