# Version 1.00
#
freq[Hz];re:Trc1_S11[U];im:Trc1_S11[U];
1.240000000000000E+009;-2.897675707936287E-002;-1.739037036895752E-002;
1.248500000000000E+009;-5.692657455801964E-002;-6.728294491767883E-002;
1.257000000000000E+009;-1.076155677437782E-001;-7.843358814716339E-002;
1.265500000000000E+009;-1.525032222270966E-001;-4.584622383117676E-002;
1.274000000000000E+009;-1.559121012687683E-001;1.170928962528706E-002;
1.282500000000000E+009;-9.822930395603180E-002;5.123918503522873E-002;
1.291000000000000E+009;-4.194656014442444E-002;1.746022887527943E-002;
1.299500000000000E+009;-4.922685772180557E-002;-4.867613315582275E-002;
1.308000000000000E+009;-1.080133840441704E-001;-5.626282840967178E-002;
1.316500000000000E+009;-1.192459464073181E-001;-2.568794880062342E-003;
1.325000000000000E+009;-6.247865036129952E-002;1.202868856489658E-002;
1.333500000000000E+009;-1.561408955603838E-002;-5.296464636921883E-002;
1.342000000000000E+009;-6.734179705381393E-002;-1.367526352405548E-001;
1.350500000000000E+009;-1.749704331159592E-001;-1.480927616357803E-001;
1.359000000000000E+009;-2.627134919166565E-001;-5.825518816709518E-002;
1.367500000000000E+009;-2.407815903425217E-001;6.604735553264618E-002;
1.376000000000000E+009;-1.395122855901718E-001;1.287619173526764E-001;
1.384500000000000E+009;-2.719917893409729E-002;9.568014740943909E-002;
1.393000000000000E+009;1.927914470434189E-002;5.327095743268728E-003;
1.401500000000000E+009;9.216377511620522E-003;-1.087879911065102E-001;
1.410000000000000E+009;-1.220549866557121E-001;-1.880969852209091E-001;
1.418500000000000E+009;-2.629645168781281E-001;-1.132599785923958E-001;
1.427000000000000E+009;-2.826840281486511E-001;3.712742403149605E-002;
1.435500000000000E+009;-1.890283972024918E-001;1.406670957803726E-001;
1.444000000000000E+009;-4.338258132338524E-002;1.401430666446686E-001;
1.452500000000000E+009;3.367188200354576E-002;1.633182354271412E-002;
1.461000000000000E+009;-1.481238938868046E-002;-1.088867262005806E-001;
1.469500000000000E+009;-1.388283669948578E-001;-1.454718559980393E-001;
1.478000000000000E+009;-2.377165257930756E-001;-7.889664918184280E-002;
1.486500000000000E+009;-2.517555058002472E-001;3.304975479841232E-002;
1.495000000000000E+009;-1.866846233606339E-001;1.127093732357025E-001;
1.503500000000000E+009;-8.571457862854004E-002;1.129338592290878E-001;
1.512000000000000E+009;-3.307639434933662E-002;4.330277070403099E-002;
1.520500000000000E+009;-4.775111377239227E-002;-3.356963023543358E-002;
1.529000000000000E+009;-1.182710304856300E-001;-6.691119819879532E-002;
1.537500000000000E+009;-1.745166033506393E-001;-3.081834875047207E-002;
1.546000000000000E+009;-1.951428502798080E-001;2.712819352746010E-002;
1.554500000000000E+009;-1.606983095407486E-001;9.444011747837067E-002;
1.563000000000000E+009;-8.898985385894775E-002;1.092236861586571E-001;
1.571500000000000E+009;-1.072275731712580E-002;6.630153208971024E-002;
1.580000000000000E+009;-6.380851380527020E-003;-3.612508252263069E-002;
1.588500000000000E+009;-6.906828284263611E-002;-9.855994582176209E-002;
1.597000000000000E+009;-1.731398701667786E-001;-1.020668968558312E-001;
1.605500000000000E+009;-2.377151399850845E-001;-8.205283433198929E-003;
1.614000000000000E+009;-2.100834697484970E-001;9.340915083885193E-002;
1.622500000000000E+009;-1.076293811202049E-001;1.447293460369110E-001;
1.631000000000000E+009;7.220891769975424E-003;8.567719161510468E-002;
1.639500000000000E+009;3.157141804695129E-002;-4.461112245917320E-002;
1.648000000000000E+009;-6.577286869287491E-002;-1.582879126071930E-001;
1.656500000000000E+009;-2.182362377643585E-001;-1.438458114862442E-001;
1.665000000000000E+009;-3.062166869640350E-001;-3.375922888517380E-002;
1.673500000000000E+009;-2.973924577236176E-001;1.159030497074127E-001;
1.682000000000000E+009;-1.727925688028336E-001;2.151915580034256E-001;
1.690500000000000E+009;-1.131613645702601E-002;1.912741810083389E-001;
1.699000000000000E+009;8.753982931375504E-002;4.698052629828453E-002;
1.707500000000000E+009;2.616446092724800E-002;-1.337257474660873E-001;
1.716000000000000E+009;-1.522065401077271E-001;-1.949085146188736E-001;
1.724500000000000E+009;-3.103402853012085E-001;-1.026713848114014E-001;
1.733000000000000E+009;-3.476780354976654E-001;7.236611843109131E-002;
1.741500000000000E+009;-2.514828443527222E-001;2.247776538133621E-001;
1.750000000000000E+009;-7.026753574609757E-002;2.605401575565338E-001;
1.758500000000000E+009;8.308933675289154E-002;1.457940638065338E-001;
1.767000000000000E+009;9.334733337163925E-002;-5.195689946413040E-002;
1.775500000000000E+009;-5.432992801070213E-002;-1.738506704568863E-001;
1.784000000000000E+009;-2.194443941116333E-001;-1.451819837093353E-001;
1.792500000000000E+009;-3.096634745597839E-001;-1.656135730445385E-002;
1.801000000000000E+009;-2.795019149780273E-001;1.294267326593399E-001;
1.809500000000000E+009;-1.618808805942535E-001;2.061299681663513E-001;
1.818000000000000E+009;-2.152138575911522E-002;1.694805324077606E-001;
1.826500000000000E+009;2.864523418247700E-002;3.315110132098198E-002;
1.835000000000000E+009;-4.584674164652824E-002;-7.721649110317230E-002;
1.843500000000000E+009;-1.716187745332718E-001;-7.655363529920578E-002;
1.852000000000000E+009;-2.309083789587021E-001;1.090462412685156E-002;
1.860500000000000E+009;-2.070614993572235E-001;9.499472379684448E-002;
1.869000000000000E+009;-1.400592327117920E-001;1.315845996141434E-001;
1.877500000000000E+009;-6.476069241762161E-002;1.011643335223198E-001;
1.886000000000000E+009;-5.978870019316673E-002;2.439317852258682E-002;
1.894500000000000E+009;-1.158234626054764E-001;-1.386711932718754E-002;
1.903000000000000E+009;-1.748560369014740E-001;1.542587298899889E-002;
1.911500000000000E+009;-1.736174225807190E-001;7.924246042966843E-002;
1.920000000000000E+009;-1.228169575333595E-001;1.024415045976639E-001;
1.928500000000000E+009;-7.455558329820633E-002;7.671198993921280E-002;
1.937000000000000E+009;-7.106915116310120E-002;1.234826445579529E-002;
1.945500000000000E+009;-1.296736150979996E-001;-2.724525704979897E-002;
1.954000000000000E+009;-1.995899379253388E-001;-2.173367422074080E-003;
1.962500000000000E+009;-2.272457182407379E-001;6.572268158197403E-002;
1.971000000000000E+009;-1.927943229675293E-001;1.339958161115646E-001;
